KinaseNames	FastGreedyCommunity	SpinGlassCommunity	WalkTrapCommunity	LeadingEigenvectorCommunity	LabelPropogationCommunity	MCODEcommunity
STK6	4	4	1	1	1	1
STK10	4	4	154	1	1	0
ST17B	4	10	155	1	1	0
HUNK	6	6	156	1	1	0
TNK1	4	4	157	1	1	0
GRK7	3	2	158	2	1	0
GRK6	2	9	159	1	1	0
WNK3	4	4	160	1	1	0
TEX14	4	4	161	1	1	0
SRMS	3	2	162	1	1	0
